name,value,changevalue,changepercentage
EUR / USD,1.0806,0.0000,0.00
EUR / GBP,0.8554,0.0000,0.00
EUR / JPY,160.3447,0.0000,0.00
EUR / AUD,1.6568,0.0000,0.00
CHF / EUR,1.0673,0.0000,0.00
USD / AUD,1.5333,-0.00026,0.017
USD / CAD,1.3475,0.0000,0.00
USD / CHF,0.8670,0.0000,0.00
USD / CNY,7.1226,0.0000,0.00
USD / EUR,0.9254,0.0000,0.00
USD / GBP,0.7916,0.0000,0.00
USD / HKD,7.8215,0.0000,0.00
USD / INR,82.9996,0.0000,0.00
USD / JPY,148.3750,0.0000,0.00
BRL / EUR,0.1862,+0.000030,0.016
BRL / USD,0.2013,+0.000032,0.016
CAD / GBP,0.5874,0.0000,0.00
CAD / USD,0.7421,0.0000,0.00
CLP / USD,0.0011,0.0000,0.00
MXN / USD,0.0584,0.0000,0.00
PEN / USD,0.2626,0.0000,0.00
CHF / EUR,1.0673,0.0000,0.00
CHF / GBP,0.9130,0.0000,0.00
CHF / USD,1.1534,0.0000,0.00
EUR / CHF,0.9369,0.0000,0.00
EUR / GBP,0.8554,0.0000,0.00
EUR / JPY,160.3447,0.0000,0.00
EUR / USD,1.0806,0.0000,0.00
GBP / CHF,1.0953,0.0000,0.00
GBP / EUR,1.1690,0.0000,0.00
GBP / USD,1.2633,0.0000,0.00
PLN / USD,0.2500,0.0000,0.00
RUB / EUR,0.0102,0.0000,0.00
RUB / TRY,0.3352,-0.00025,0.074
RUB / USD,0.0110,0.0000,0.00
TRY / CHF,0.0284,0.0000,0.00
TRY / USD,0.0328,+0.000022,0.068
ZAR / AUD,0.0813,0.0000,0.00
ZAR / USD,0.0529,0.0000,0.00
AUD / CAD,0.8786,0.0000,0.00
AUD / USD,0.6522,0.0000,0.00
CNY / EUR,0.1294,-0.00054,0.42
CNY / GBP,0.1111,0.0000,0.00
CNY / SGD,0.1898,+0.0011,0.57
CNY / USD,0.1404,0.0000,0.00
HKD / GBP,0.1012,+0.0000046,0.0045
HKD / JPY,18.9711,+0.00086,0.0045
HKD / USD,0.1279,+0.0000058,0.0045
IDR / EUR,0.000059,+0.0000,0.000064
IDR / JPY,0.0094,+0.0000,0.000064
IDR / USD,0.000064,+0.0000,0.000064
INR / AUD,0.0185,0.0000,0.00
INR / EUR,0.0111,-0.000063,0.57
INR / GBP,0.0095,0.0000,0.00
INR / USD,0.0120,0.0000,0.00
JPY / AUD,0.0103,-0.0000015,0.015
JPY / CAD,0.0091,-0.000022,0.24
JPY / EUR,0.0062,+0.0000,0.0000018
JPY / GBP,0.0053,0.0000,0.00
JPY / SGD,0.0091,0.0000,0.00
JPY / USD,0.0067,0.0000,0.00
KRW / EUR,0.00069,+0.0000,0.019
KRW / USD,0.00075,+0.0000,0.019
PKR / EUR,0.0033,-0.000023,0.69
PKR / USD,0.0036,0.0000,0.00
SGD / EUR,0.6885,0.0000,0.00
SGD / USD,0.7440,0.0000,0.00
THB / USD,0.0280,0.0000,0.00
TWD / USD,0.0319,-0.0000015,0.0048
