IndexName,IndexValue,IndexChangeValue,IndexChangePercentage
Aeon Co Ltd,"¥3,505.00",-¥28.00,0.79%
Asahi Group Holdings Ltd,"¥5,500.00",-¥10.00,0.18%
Askul Corp,"¥2,029.00",+¥24.00,1.20%
AstraZeneca plc,"GBX 10,430.00",-GBX 70.00,0.67%
Atos SE,€3.92,-€0.068,1.71%
Bank of New York Mellon Corp,$54.92,-$0.54,0.97%
Bayer AG,€28.33,-€0.57,1.99%
Best Buy Co Inc,$73.01,+$0.52,0.72%
Brembo SpA,€11.53,+€0.090,0.79%
BT Group - CLASS A Common Stock,GBX 109.25,-GBX 2.95,2.63%
Cellnex Telecom SA,€35.56,-€0.22,0.61%
Cia de Distribn Integral Logista Hldg SA,€26.08,-€0.16,0.61%
City Developments Limited Fully Paid Ord. Shrs,$5.91,-$0.20,3.27%
Coca Cola HBC AG,"GBX 2,324.00",-GBX 4.00,0.17%
Coca-Cola Europacific Partners PLC,$69.32,+$0.42,0.61%
CVS Health Corp,$73.80,-$0.57,0.77%
Daiwa House Industry Co Ltd,"¥4,487.00",-¥97.00,2.12%
Danone SA,€61.37,-€0.37,0.60%
Deutsche Telekom AG,€22.71,-€0.040,0.18%
Enagas SA,€14.94,-€0.15,1.03%
Enel S.p.A. Ordinary Shares,€6.20,-€0.14,2.16%
Ferrovial SE,€34.33,-€1.08,3.05%
Ford Motor Co,$11.66,-$0.065,0.55%
Fuji Electric Co Ltd,"¥7,768.00",+¥309.00,4.14%
Fujitsu Ltd,"¥21,080.00",+¥240.00,1.15%
General Mills Inc,$65.17,+$0.26,0.40%
Givaudan S.A.,"CHF 3,612.00",+CHF 3.00,0.083%
Heidelberg Materials AG,€85.00,-€0.88,1.02%
HP Inc,$28.57,-$0.14,0.49%
Imperial Brands PLC,"GBX 1,877.00",-GBX 21.50,1.13%
International Flavors & Fragrances Inc,$80.68,$0.00,0.00%
J Sainsbury plc,GBX 268.00,-GBX 2.20,0.81%
Japan Tobacco Inc,"¥3,903.00",+¥8.00,0.21%
Kao Corp,"¥5,830.00",-¥33.00,0.56%
Kawasaki Kisen Kaisha Ltd,"¥7,071.00",-¥130.00,1.81%
Kirin Holdings Co Ltd,"¥2,115.50",-¥7.50,0.35%
Komatsu Ltd,"¥4,134.00",-¥111.00,2.61%
Kone Oyj,€46.40,+€0.46,1.00%
Koninklijke BAM Groep NV,€2.52,-€0.048,1.87%
Koninklijke Philips NV,€19.50,-€0.28,1.42%
L'Oreal SA,€447.80,+€3.10,0.70%
Land Securities Group plc,GBX 655.00,-GBX 14.60,2.18%
Lanxess AG,€24.89,-€0.060,0.24%
Las Vegas Sands Corp.,$50.84,+$1.92,3.92%
LG Uplus Corp,"₩10,430.00",+₩200.00,1.96%
Macerich Co,$15.45,-$0.34,2.15%
Mercialys SA,€10.30,-€0.27,2.55%
Metsa Board Oyj Class B,€6.96,-€0.49,6.64%
Microsoft Corp,$403.95,+$6.37,1.60%
MS&AD Insurance Group Holdings Inc,"¥6,068.00",-¥80.00,1.30%
Nabtesco Corporation,"¥2,814.50",-¥41.50,1.45%
National Grid plc,"GBX 1,051.00",-GBX 4.00,0.38%
NEC Corp,"¥9,583.00",-¥117.00,1.21%
Nikon Corp,"¥1,447.50",-¥70.00,4.61%
Nomura Research Institute Ltd,"¥4,225.00",-¥308.00,6.79%
Novo Nordisk A/S,kr.786.40,+kr.11.60,1.50%
Oersted A/S,kr.393.40,+kr.1.90,0.49%
Ono Pharmaceutical Co Ltd,"¥2,525.50",-¥146.50,5.48%
Philip Morris International Inc.,$92.34,+$1.49,1.64%
Salesforce Inc,$281.82,+$0.73,0.26%
Schneider Electric SE,€185.30,+€2.40,1.31%
Sekisui Chemical Co Ltd,"¥2,113.50",-¥3.50,0.17%
Signify NV,€27.11,-€0.84,3.01%
Sopra Steria Group SA,€213.40,-€4.40,2.02%
Stanley Black & Decker Inc,$88.50,-$4.80,5.14%
Sumitomo Chemical Co Ltd,¥328.30,-¥21.10,6.04%
Sumitomo Forestry Co Ltd,"¥4,353.00",-¥31.00,0.71%
Symrise AG,€96.60,+€0.66,0.69%
Telefonica SA,€3.74,-€0.035,0.93%
ThyssenKrupp AG,€5.76,+€0.0020,0.035%
Toda Corp,¥934.10,+¥1.10,0.12%
Tokyo Steel Manufacturing Co Ltd,"¥1,807.00",+¥13.00,0.72%
Toyota Motor Corp,"¥2,945.00",-¥55.00,1.83%
Unilever plc,"GBX 3,855.50",+GBX 8.50,0.22%
