IndexName,IndexValue,IndexChangeValue,IndexChangePercentage
EUR / USD,1.0853,+0.0050,0.46%
EUR / GBP,0.8539,+0.0018,0.21%
EUR / JPY,158.6225,-0.1892,0.12%
EUR / AUD,1.6545,+0.0080,0.49%
CHF / EUR,1.0731,-0.00014,0.013%
USD / AUD,1.5245,+0.00039,0.025%
USD / CAD,1.3401,-0.0035,0.26%
USD / CHF,0.8585,-0.0039,0.45%
USD / CNY,7.1003,-0.0022,0.031%
USD / EUR,0.9214,-0.0042,0.46%
USD / GBP,0.7867,-0.0021,0.26%
USD / HKD,7.8192,+0.0017,0.022%
USD / INR,82.9579,-0.0960,0.12%
USD / JPY,146.1530,-0.8520,0.58%
BRL / EUR,0.1872,+0.00026,0.14%
BRL / USD,0.2031,+0.0012,0.61%
CAD / GBP,0.5871,+0.00019,0.033%
CAD / USD,0.7462,+0.0020,0.26%
CLP / USD,0.0011,-0.0000024,0.22%
MXN / USD,0.0584,+0.00030,0.52%
PEN / USD,0.2629,0.0000,0.00%
CHF / EUR,1.0731,-0.00014,0.013%
CHF / GBP,0.9163,+0.0017,0.19%
CHF / USD,1.1648,+0.0053,0.46%
EUR / CHF,0.9319,+0.00014,0.015%
EUR / GBP,0.8539,+0.0018,0.21%
EUR / JPY,158.6225,-0.1892,0.12%
EUR / USD,1.0853,+0.0050,0.46%
GBP / CHF,1.0912,-0.0021,0.19%
GBP / EUR,1.1710,-0.0024,0.20%
GBP / USD,1.2711,+0.0034,0.27%
PLN / USD,0.2517,+0.0021,0.86%
RUB / EUR,0.0102,-0.00011,1.05%
RUB / TRY,0.3353,-0.0024,0.71%
RUB / USD,0.0111,-0.000070,0.63%
TRY / CHF,0.0283,-0.000096,0.34%
TRY / USD,0.0330,+0.000026,0.078%
ZAR / AUD,0.0820,+0.00034,0.41%
ZAR / USD,0.0538,+0.00022,0.40%
AUD / CAD,0.8790,-0.0025,0.28%
AUD / USD,0.6560,-0.00015,0.022%
CNY / EUR,0.1298,-0.00055,0.43%
CNY / GBP,0.1108,-0.00026,0.23%
CNY / SGD,0.1896,+0.00081,0.43%
CNY / USD,0.1408,+0.000044,0.031%
HKD / GBP,0.1006,-0.00030,0.30%
HKD / JPY,18.6869,-0.1179,0.63%
HKD / USD,0.1279,-0.000030,0.023%
IDR / EUR,0.000059,-0.0000,0.17%
IDR / JPY,0.0093,-0.000027,0.29%
IDR / USD,0.000064,+0.0000,0.30%
INR / AUD,0.0184,+0.000025,0.14%
INR / EUR,0.0111,-0.000039,0.35%
INR / GBP,0.0095,-0.000015,0.16%
INR / USD,0.0121,+0.000014,0.12%
JPY / AUD,0.0104,+0.000066,0.64%
JPY / CAD,0.0092,+0.000027,0.30%
JPY / EUR,0.0063,+0.0000074,0.12%
JPY / GBP,0.0054,+0.000017,0.32%
JPY / SGD,0.0092,+0.000031,0.34%
JPY / USD,0.0068,+0.000039,0.57%
KRW / EUR,0.00069,-0.0000010,0.15%
KRW / USD,0.00075,+0.0000023,0.30%
PKR / EUR,0.0033,-0.000015,0.46%
PKR / USD,0.0036,0.0000,0.00%
SGD / EUR,0.6889,-0.0016,0.24%
SGD / USD,0.7477,+0.0018,0.24%
THB / USD,0.0283,+0.00019,0.67%
TWD / USD,0.0320,-0.00015,0.47%
