IndexName,IndexValue,IndexChangeValue,IndexChangePercentage
Volvo Car AB,€3.09,+€0.66,26.95%
Kimberly-Clark de Mexico SAB de CV Class A,€2.20,+€0.18,8.91%
Deep Yellow Limited,€0.94,+€0.072,8.27%
Uranium Energy Corp.,€7.50,+€0.56,8.11%
Energy Fuels Inc,€7.50,+€0.44,6.23%
Paladin Energy Ltd,€0.81,+€0.045,5.84%
Plug Power Inc,€4.25,+€0.23,5.83%
Ballard Power Systems Inc,€3.20,+€0.15,5.02%
Uranium Energy Corp.,€7.42,+€0.34,4.79%
Siemens Healthineers AG,€53.84,+€1.98,3.82%
Bank Maybank Indonesia Tbk PT,€0.014,+€0.00050,3.70%
CTS Eventim AG & Co KGaA,€65.10,+€2.25,3.58%
Banpu Non-Voting DR,€0.18,+€0.0060,3.51%
MorphoSys AG,€40.75,+€1.35,3.43%
Denison Mines Corp,€1.93,+€0.058,3.13%
Carl Zeiss Meditec AG,€101.60,+€3.04,3.08%
Banco Santander SA,€3.84,+€0.11,2.85%
Deutsche Bank AG,€12.33,+€0.34,2.80%
Deutsche Bank AG,€12.35,+€0.31,2.59%
Weichai Power Ord Shs H,€1.64,+€0.039,2.44%
Plug Power Inc,€4.22,+€0.095,2.30%
Hensoldt AG,€28.52,+€0.62,2.22%
Shell PLC,€29.64,+€0.60,2.07%
