IndexName,IndexValue,IndexChangeValue,IndexChangePercentage
Merafe Resources Ltd,€0.069,-€0.0070,9.21%
BNP Paribas SA,€57.11,-€5.51,8.80%
BNP Paribas SA,€57.22,-€4.99,8.02%
ING Groep NV,€12.30,-€0.91,6.86%
ClouDr Group Ltd,€0.65,-€0.045,6.47%
ING Groep NV,€12.35,-€0.84,6.37%
DWS Group GmbH & Co KgaA,€35.60,-€2.38,6.27%
Seplat Energy PLC,€1.69,-€0.11,6.11%
Fielmann Group AG,€45.66,-€2.66,5.50%
Evotec SE,€13.56,-€0.76,5.28%
Coinbase Global Inc,€116.32,-€6.24,5.09%
TAG Immobilien AG,€12.52,-€0.56,4.28%
Evotec SE,€13.68,-€0.60,4.24%
TUI AG,€6.17,-€0.26,4.07%
Arcadium Lithium CDI,€4.32,-€0.18,4.00%
Northern Data AG,€26.90,-€1.10,3.93%
Hellofresh SE,€11.93,-€0.44,3.60%
TUI AG,€6.17,-€0.22,3.41%
Australian Agricultural Company Ltd,€0.85,-€0.025,2.87%
Carnival plc,€13.80,-€0.40,2.82%
Qualcomm Inc,€131.40,-€3.70,2.74%
Covestro AG,€47.74,-€1.34,2.73%
K&S AG,€12.71,-€0.35,2.72%
PayPal Holdings Inc,€56.26,-€1.56,2.70%
BioNTech SE - ADR,€85.92,-€2.32,2.63%
Tesla Inc,€170.64,-€4.56,2.60%
AUTO1 GROUP SE,€3.81,-€0.097,2.49%
Aroundtown SA,€2.04,-€0.051,2.44%
Bayer AG,€28.29,-€0.70,2.43%
Zalando SE,€18.23,-€0.45,2.41%
Intesa Sanpaolo SpA,€2.80,-€0.069,2.39%
Axa SA,€30.41,-€0.75,2.39%
LEG Immobilien SE,€75.68,-€1.78,2.30%
Nordex SE,€9.31,-€0.22,2.29%
Hugo Boss AG Common Stock,€56.84,-€1.30,2.24%
Societe Generale SA,€23.37,-€0.53,2.22%
Enel S.p.A. Ordinary Shares,€6.20,-€0.14,2.21%
Anglo American plc,€21.92,-€0.48,2.14%
Bayer AG,€28.31,-€0.59,2.06%
thyssenkrupp nucera AG & Co KgaA,€14.99,-€0.31,2.03%
