Name,Current price,Change(%),Open,High,Low,Volume
AMAZON.COM INC.,171.81,7.87,169.19,172.5,167.33,117218313
TESLA INC.,187.91,10.5,185.04,188.69,182.0,110612672
REMARK HOLDINGS INC.,0.597,16.76,0.5251,0.789,0.5251,103187707
APPLE INC.,185.85,10.54,179.86,187.33,179.25,102551680
INTELLIGENT BIO SOLUTIONS INC.,5.95,146.89,4.14,6.99,3.93,95158633
META PLATFORMS INC.,474.99,20.32,459.6,485.96,453.01,84707646
ADVANCED MICRO DEVICES INC.,177.66,4.21,173.79,179.0,173.05,82134266
NIKOLA CORP.,0.7281,10.23,0.7277,0.7389,0.6897,64184632
C3IS INC.,0.1608,17.63,0.1582,0.1721,0.146,63990593
PHUNWARE INC.,0.3419,10.93,0.353,0.3559,0.3252,62858481
ALPHABET INC. CLASS A,142.38,0.86,139.26,142.62,136.5,62499574
PLUG POWER INC.,4.66,10.85,4.69,4.83,4.5,60637931
CANOO INC.,0.17,15.66,0.1793,0.1827,0.17,57176861
INTEL CORP.,42.6,11.75,43.0,43.14,41.6,53683500
SOFI TECHNOLOGIES INC.,7.88,1.94,7.58,7.95,7.47,53319062
MARATHON DIGITAL HLD.,18.2,12.15,17.94,19.08,17.83,52991503
ROCKET LAB USA INC.,3.97,11.24,4.01,4.02,3.92,47872620
NVIDIA CORP.,661.6,4.97,639.74,666.0,636.9,47657765
ATARA BIOTHERAPEUTICS INC.,1.22,46.99,0.79,1.58,0.78,42357383
ALPHABET INC. CLASS C,143.54,0.58,140.89,143.88,138.17,42136127
LUCID GROUP INC.,3.31,13.22,3.3,3.34,3.11,42072679
PELOTON INTERACTIVE INC.,4.24,0.71,4.31,4.5,4.1,37002614
AMERICAN AIRLINES GROUP INC.,14.56,1.53,14.18,14.67,14.14,33135659
MICROSOFT CORP.,411.22,1.84,403.81,412.65,403.56,28256670
MINIM INC.,6.71,33.4,7.12,7.45,5.92,27295909
ERICSSON ADS,5.43,11.27,5.45,5.46,5.35,26942419
TILRAY BRANDS INC.,1.88,14.08,1.95,1.97,1.85,26204129
KOPIN CORP.,2.34,27.17,2.37,2.56,2.26,26099465
COMCAST CORP.,45.09,13.51,45.33,45.82,44.87,25234275
