Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
PENDLE-USD,Pendle USD,2.9382,+0.0502,+1.74%,699.846M,42.838M,42.838M,42.838M,238.186M
MANTA-USD,Manta Network USD,2.7389,-0.1884,-6.44%,687.476M,224.458M,224.458M,224.458M,251M
WBNB-USD,Wrapped BNB USD,300.01,-1.78,-0.59%,685.892M,70.184M,70.184M,70.184M,2.286M
KLAY-USD,Klaytn USD,0.192546,-0.003544,-1.81%,671.529M,9.267M,9.267M,9.267M,3.488B
BONK-USD,Bonk USD,0.000010,-0.000000,-1.04%,651.527M,39.08M,39.08M,39.08M,63.334T
FRAX-USD,Frax USD,0.998348,+0.000571,+0.06%,648.389M,5.298M,5.298M,5.298M,649.462M
WOO-USD,WOO USD,0.342193,-0.001055,-0.31%,623.881M,6.655M,6.655M,6.655M,1.823B
CAKE-USD,PancakeSwap USD,2.4379,-0.0039,-0.16%,620.904M,51.782M,51.782M,51.782M,254.683M
MSOL-USD,Marinade Staked SOL USD,114.10,-0.84,-0.73%,611.66M,10.846M,10.846M,10.846M,5.361M
AKT-USD,Akash Network USD,2.6935,-0.1420,-5.01%,611.214M,2.546M,2.546M,2.546M,226.926M
XDC-USD,XDC Network USD,0.043306,-0.000072,-0.17%,601.778M,23.522M,23.522M,23.522M,13.896B
GALA-USD,Gala USD,0.021533,-0.000323,-1.48%,598.624M,27.871M,27.871M,27.871M,27.8B
VBNB-USD,Venus BNB USD,7.0712,-0.0312,-0.44%,596.295M,361.366M,361.366M,361.366M,84.327M
LUNC-USD,Terra Classic USD,0.000103,+0.000008,+8.84%,595.151M,170.901M,170.901M,170.901M,5.782T
XEC-USD,eCash USD,0.000030,-0.000000,-1.42%,588.334M,3.83M,3.83M,3.83M,19.625T
FTT-USD,FTX Token USD,1.7483,-0.1672,-8.73%,575.003M,24.732M,24.732M,24.732M,328.895M
GNO-USD,Gnosis USD,216.72,+1.54,+0.71%,561.215M,6.034M,6.034M,6.034M,2.59M
AR-USD,Arweave USD,8.4885,-0.0238,-0.28%,555.607M,7.739M,7.739M,7.739M,65.454M
RPL-USD,Rocket Pool USD,27.66,-0.08,-0.30%,555.032M,3.776M,3.776M,3.776M,20.066M
ENS-USD,Ethereum Name Service USD,17.45,-0.05,-0.28%,536.79M,25.721M,25.721M,25.721M,30.756M
APE18876-USD,ApeCoin USD,1.3800,-0.0278,-1.97%,508.664M,29.932M,29.932M,29.932M,368.594M
XAUT-USD,Tether Gold USD,"2,038.96",-0.49,-0.02%,502.653M,2.561M,2.561M,2.561M,"246,524"
AXL17799-USD,Axelar USD,0.902880,-0.021086,-2.28%,502.217M,2.339M,2.339M,2.339M,556.238M
CRV-USD,Curve DAO Token USD,0.452394,-0.005662,-1.24%,496.949M,62.511M,62.511M,62.511M,1.098B
SC-USD,Siacoin USD,0.008777,+0.000279,+3.28%,493.901M,24.834M,24.834M,24.834M,56.274B
NEXO-USD,Nexo USD,0.878938,-0.000113,-0.01%,492.205M,1.956M,1.956M,1.956M,560M
CBETH-USD,Coinbase Wrapped Staked ETH USD,"2,443.01",-1.40,-0.06%,478.026M,4.702M,4.702M,4.702M,"195,671"
HT-USD,Huobi Token USD,2.9014,+0.1147,+4.12%,470.706M,5.402M,5.402M,5.402M,162.234M
TWT-USD,Trust Wallet Token USD,1.1163,-0.0139,-1.23%,465.105M,7.816M,7.816M,7.816M,416.65M
GT-USD,GateToken USD,4.7864,+0.2071,+4.52%,461.842M,1.201M,1.201M,1.201M,96.491M
RLB-USD,Rollbit Coin USD,0.139291,-0.001452,-1.03%,459.235M,2.611M,2.611M,2.611M,3.297B
1INCH-USD,1inch Network USD,0.401441,+0.000502,+0.13%,458.12M,22.657M,22.657M,22.657M,1.141B
