name,value,changevalue,changepercentage
PT Temas Tbk,€0.015,+€0.010,222.22
Meta Platforms Inc,€441.95,+€76.85,21.05
The People's Insurance Co (Group) of China Ord Shs H,€0.30,+€0.046,18.25
Banpu Ord Shs F,€0.17,+€0.025,17.86
Amazon.com Inc,€158.56,+€13.48,9.29
Amazon.com Inc,€158.92,+€12.62,8.63
Snap Inc,€15.66,+€1.03,7.04
NVIDIA Corp,€607.20,+€36.30,6.36
Finnair Oyj,€0.036,+€0.0020,5.88
"Advanced Micro Devices, Inc.",€163.08,+€9.02,5.85
American Airlines Group Inc,€13.57,+€0.72,5.62
Shimao Group Holdings Ltd,€0.053,+€0.0025,5.00
Palantir Technologies Inc,€15.63,+€0.69,4.65
IONOS Group SE,€20.35,+€0.85,4.36
De Grey Mining Limited,€0.74,+€0.031,4.33
Palantir Technologies Inc,€15.46,+€0.64,4.28
Dr Ing hc F Porsche AG,€82.00,+€3.30,4.19
Deep Yellow Limited,€0.98,+€0.039,4.14
Plug Power Inc,€4.34,+€0.17,4.00
MorphoSys AG,€42.16,+€1.54,3.79
Banco Santander SA,€3.89,+€0.13,3.56
Deutsche Bank AG,€12.83,+€0.44,3.52
Lynas Rare Earths Ltd,€3.51,+€0.12,3.46
Banco Bilbao Vizcaya Argentaria SA,€8.98,+€0.30,3.41
Chevron Corporation,€141.44,+€4.64,3.39
easyJet plc,€6.74,+€0.22,3.34
Silver Lake Resources Ltd,€0.75,+€0.023,3.16
Rolls-Royce Holdings PLC,€3.61,+€0.10,2.94
Berkshire Hathaway Inc Class B,€362.40,+€10.20,2.90
Deutsche Bank AG,€12.82,+€0.35,2.84
Alamos Gold Inc,€11.60,+€0.32,2.84
Geely Automobile Holdings Ltd,€0.90,+€0.024,2.75
PayPal Holdings Inc,€57.80,+€1.54,2.74
Lloyds Banking Group PLC,€0.51,+€0.013,2.63
Barclays PLC,€1.78,+€0.045,2.61
Kion Group AG,€43.05,+€1.05,2.50
Deutsche Lufthansa AG,€7.90,+€0.19,2.46
Hellofresh SE,€12.15,+€0.29,2.45
Esprit Holdings Ltd,€0.034,+€0.00080,2.41
Stellantis NV,€21.22,+€0.49,2.36
Nikola Corp,€0.67,+€0.015,2.31
HOCHTIEF AG,€101.40,+€2.15,2.17
Coinbase Global Inc,€118.70,+€2.48,2.13
C3.ai Inc,€22.83,+€0.47,2.10
Deutsche Lufthansa AG,€7.87,+€0.16,2.05
