name,value,changevalue,changepercentage
S&P 500,4958.61,+52.42,1.07
Dow Jones Industrial Average,38654.42,+134.58,0.35
Nasdaq Composite,15628.95,+267.31,1.74
Russell 2000 Index,1962.73,-11.69,0.59
S&P/TSX Composite Index,21085.09,-34.12,0.16
Brazil Stock Exchange Index,127182.25,-1298.77,1.01
NYSE Composite,17101.97,-13.61,0.080
Dow Jones Transportation Average,15799.59,+154.24,0.99
Dow Jones Utility Average,851.48,-15.55,1.79
S&P Latin America 40,2865.27,-28.96,1.00
VIX,13.85,-0.030,0.22
Russell 1000 Index,2716.61,+27.21,1.01
Dow Jones U.S. Total Stock Market Index,49337.98,+458.23,0.94
Barron's 400 Index,1072.79,+1.59,0.15
NASDAQ Composite Total Return,18963.20,+324.42,1.74
Nasdaq-100,17642.73,+298.02,1.72
NASDAQ-100 Total Return,21145.94,+357.20,1.72
NASDAQ Transportation Index,6862.71,+135.80,2.02
NASDAQ Biotechnology Index,4386.92,-54.12,1.22
Nasdaq Financial-100,5098.73,+33.17,0.65
Nasdaq Bank,3564.58,-0.23,0.0065
Nasdaq Insurance,13122.08,+96.68,0.74
Nasdaq Industrial,9495.94,+174.78,1.88
Nasdaq Computer,13940.79,+321.67,2.36
S&P 400,2767.15,-0.27,0.0098
S&P 600,1273.63,-6.06,0.47
Russell 2500 Index,852.23,-1.66,0.19
Russell 3000 Index,2837.13,+26.12,0.93
NYSE American Composite Index,4443.89,-42.35,0.94
Value Line Geometric Index,582.37,-1.71,0.29
NYSE Arca Biotechnology Index,5101.89,-60.16,1.17
NYSE Arca Pharmaceutical Index,962.86,-4.80,0.50
KBW Nasdaq Bank Index,94.74,+0.68,0.72
Philadelphia Gold and Silver Index,114.06,-3.48,2.96
PHLX Oil Service Sector,78.00,-2.51,3.11
PHLX Semiconductor Sector,4336.73,+56.24,1.31
