name,value,changevalue,changepercentage
Aeon Co Ltd,¥3544.00,+¥39.00,1.11
Asahi Group Holdings Ltd,¥5494.00,-¥6.00,0.11
Askul Corp,¥2015.00,-¥14.00,0.69
AstraZeneca plc,GBX 10496.00,+GBX 66.00,0.63
Atos SE,€3.93,-€0.064,1.60
Bank of New York Mellon Corp,$55.63,+$0.13,0.23
Bayer AG,€28.69,+€0.42,1.47
Best Buy Co Inc,$75.69,+$0.45,0.60
Brembo SpA,€11.62,+€0.090,0.78
BT Group - CLASS A Common Stock,GBX 111.35,+GBX 2.35,2.16
Cellnex Telecom SA,€34.75,-€0.86,2.42
Cia de Distribn Integral Logista Hldg SA,€26.04,-€0.020,0.077
City Developments Limited Fully Paid Ord. Shrs,$6.06,+$0.15,2.54
Coca Cola HBC AG,GBX 2338.33,+GBX 8.33,0.36
Coca-Cola Europacific Partners PLC,$69.54,-$0.47,0.67
CVS Health Corp,$73.09,-$0.83,1.12
Daiwa House Industry Co Ltd,¥4433.00,-¥54.00,1.20
Danone SA,€60.94,-€0.47,0.77
Deutsche Telekom AG,€22.68,-€0.050,0.22
Enagas SA,€14.89,-€0.045,0.30
Enel S.p.A. Ordinary Shares,€6.18,-€0.022,0.35
Ferrovial SE,€34.35,+€0.060,0.17
Ford Motor Co,$12.14,+$0.040,0.33
Fuji Electric Co Ltd,¥7966.00,+¥198.00,2.55
Fujitsu Ltd,¥22340.00,+¥1260.00,5.98
General Mills Inc,$64.80,-$0.030,0.046
Givaudan S.A.,CHF 3580.00,-CHF 35.00,0.97
Heidelberg Materials AG,€85.90,+€0.66,0.77
HP Inc,$28.68,-$0.26,0.90
Imperial Brands PLC,GBX 1870.85,-GBX 9.15,0.49
International Flavors & Fragrances Inc,$81.27,-$0.91,1.11
J Sainsbury plc,GBX 275.20,+GBX 8.00,2.99
Japan Tobacco Inc,¥3906.00,+¥3.00,0.077
Kao Corp,¥5801.00,-¥29.00,0.50
Kawasaki Kisen Kaisha Ltd,¥6986.00,-¥85.00,1.20
Kirin Holdings Co Ltd,¥2120.50,+¥5.00,0.24
Komatsu Ltd,¥4178.00,+¥44.00,1.06
Kone Oyj,€46.25,-€0.15,0.32
Koninklijke BAM Groep NV,€2.50,-€0.018,0.71
Koninklijke Philips NV,€19.34,-€0.12,0.64
L'Oreal SA,€447.65,-€1.70,0.38
Land Securities Group plc,GBX 651.00,-GBX 3.00,0.46
Lanxess AG,€24.94,-€0.030,0.12
Las Vegas Sands Corp.,$50.48,-$0.37,0.73
LG Uplus Corp,₩10440.00,+₩10.00,0.096
Macerich Co,$15.48,-$0.33,2.09
Mercialys SA,€10.50,+€0.17,1.65
Metsa Board Oyj Class B,€6.91,-€0.045,0.65
Microsoft Corp,$411.22,+$7.44,1.84
MS&AD Insurance Group Holdings Inc,¥6030.00,-¥38.00,0.63
Nabtesco Corporation,¥2862.50,+¥48.00,1.71
National Grid plc,GBX 1040.50,-GBX 10.50,1.00
NEC Corp,¥9758.00,+¥175.00,1.83
Nikon Corp,¥1474.00,+¥26.50,1.83
Nomura Research Institute Ltd,¥4189.00,-¥36.00,0.85
Novo Nordisk A/S,kr.781.40,-kr.5.00,0.64
Oersted A/S,kr.384.30,-kr.9.10,2.31
Ono Pharmaceutical Co Ltd,¥2535.00,+¥9.50,0.38
Philip Morris International Inc.,$92.99,-$0.30,0.32
Salesforce Inc,$285.66,+$1.86,0.66
Schneider Electric SE,€188.70,+€3.00,1.62
Sekisui Chemical Co Ltd,¥2089.00,-¥24.50,1.16
Signify NV,€26.08,-€0.74,2.76
Sopra Steria Group SA,€211.40,-€2.20,1.03
Stanley Black & Decker Inc,$90.63,-$1.23,1.34
Sumitomo Chemical Co Ltd,¥332.70,+¥4.40,1.34
Sumitomo Forestry Co Ltd,¥4402.00,+¥49.00,1.13
Symrise AG,€95.22,-€1.52,1.57
Telefonica SA,€3.70,-€0.031,0.83
ThyssenKrupp AG,€5.76,-€0.014,0.24
Toda Corp,¥941.00,+¥6.90,0.74
Tokyo Steel Manufacturing Co Ltd,¥1766.00,-¥41.00,2.27
Toyota Motor Corp,¥2951.50,+¥6.50,0.22
Unilever plc,GBX 3891.00,+GBX 35.50,0.92
