name,value,changevalue,changepercentage
Bitcoin (BTC / USD),42878.70,-131.90,0.31
Ether (ETH / USD),2299.32,+3.34,0.15
Cardano (ADA / USD),0.5035,-0.0089,1.73
Binance Coin (BNB / USD),305.6814,+5.7603,1.92
Tether (USDT / USD),0.9996,-0.00050,0.050
XRP (XRP / USD),0.5109,-0.0078,1.50
Dogecoin (DOGE / USD),0.0797,+0.00081,1.03
ChainLink (LINK / USD),18.2451,+0.5800,3.28
Litecoin (LTC / USD),67.49,-1.31,1.90
Bitcoin Cash (BCH / USD),236.57,-4.24,1.76
Lumens (XLM / USD),0.1096,-0.0015,1.34
TRON (TRX / USD),0.1182,+0.0011,0.92
Ethereum Classic (ETC / USD),25.4690,+0.6209,2.50
Monero (XMR / USD),166.6867,+1.2431,0.75
EOS (EOS / USD),0.7066,-0.0173,2.39
NEO (NEO / USD),11.0136,-0.1869,1.67
Waves (WAVES / USD),4.1178,-0.0091,0.22
Dash (DASH / USD),27.2111,-0.5291,1.91
OmiseGO (OMG / USD),0.6316,-0.0082,1.28
Decred (DCR / USD),15.3232,-0.1064,0.69
NEM (XEM / USD),0.0351,-0.00068,1.90
Decentraland (MANA / USD),0.4351,-0.0046,1.05
ICON (ICX / USD),0.2167,-0.0028,1.29
Qtum (QTUM / USD),2.8782,-0.0226,0.78
Zilliqa (ZIL / USD),0.0199,-0.00035,1.71
Basic Attention Token (BAT / USD),0.2180,+0.00046,0.21
Bitgem (BTG / USD),21.6393,-0.3486,1.59
Bancor (BNT / USD),0.7068,-0.0108,1.51
0x (ZRX / USD),0.3175,-0.0013,0.42
Siacoin (SC / USD),0.0088,+0.00024,2.80
Ontology (ONT / USD),0.2289,-0.0034,1.46
DigiByte (DGB / USD),0.0074,-0.000059,0.79
Nano (NANO / USD),5.1009,-0.0112,0.22
Lisk (LSK / USD),1.3865,+0.0461,3.44
Gnosis (GNO / USD),216.6950,+0.5895,0.27
Verge (XVG / USD),0.0031,-0.000050,1.59
Ardor (ARDR / USD),0.0834,-0.00061,0.73
Status (SNT / USD),0.0384,-0.00047,1.21
MaidSafeCoin (MAID / USD),0.2787,-0.00037,0.13
Augur (REP / USD),1.1080,+0.00083,0.075
Ark (ARK / USD),0.8248,-0.0126,1.50
FunFair (FUN / USD),0.0053,-0.0000086,0.16
Steem (STEEM / USD),0.2597,+0.00062,0.24
Syscoin (SYS / USD),0.1158,-0.0042,3.47
Wanchain (WAN / USD),0.2094,-0.00043,0.20
BitShares (BTS / USD),0.0036,-0.0000080,0.22
Komodo (KMD / USD),0.2430,-0.00066,0.27
MonaCoin (MONA / USD),0.3466,-0.0041,1.17
Gas (GAS / USD),5.6482,-0.0432,0.76
ReddCoin (RDD / USD),0.000043,-0.0000,0.19
Bytom (BTM / USD),0.0079,+0.000026,0.32
Waltonchain (WTC / USD),0.0133,+0.0000071,0.053
Aion (AION / USD),0.0019,-0.0000042,0.22
Groestlcoin (GRS / USD),0.4867,-0.0049,1.00
Bytecoin (BCN / USD),0.00022,+0.0000,0.095
Veritaseum (VERI / USD),20.5931,-0.0402,0.19
DigixDAO (DGD / USD),257.4595,-0.5770,0.22
PIVX (PIVX / USD),0.2907,-0.0013,0.46
Nexus (NXS / USD),0.0674,-0.00013,0.19
Populous (PPT / USD),0.0249,-0.000056,0.22
QASH (QASH / USD),0.0272,-0.00075,2.68
Neblio (NEBL / USD),0.2060,-0.00039,0.19
SALT (SALT / USD),0.0439,-0.00013,0.30
GameCredits (GAME / USD),0.0077,-0.000017,0.22
Factom (FCT / USD),1.1474,-0.0026,0.22
Nxt (NXT / USD),0.0012,-0.0000036,0.31
TenX (PAY / USD),0.0085,+0.00033,3.98
DigitalNote (XDN / USD),0.000043,-0.0000,0.22
Substratum (SUB / USD),0.00017,-0.0000,0.22
KingN Coin (KNC / USD),0.5845,-0.0080,1.34
Golem (GNT / USD),0.6729,-0.0019,0.29
Request Network (REQ / USD),0.0826,-0.00019,0.22
Voyager Tokens (VGX / USD),2.4663,+0.0076,0.31
Time New Bank (TNB / USD),0.0050,-0.000011,0.22
ZClassic (ZCL / USD),0.1616,-0.00032,0.19
Hshare (HSR / USD),0.3004,-0.00059,0.19
iCoin (ICN / USD),2.2773,-0.0056,0.25
Powerledger (POWR / USD),0.3016,-0.0027,0.89
Enigma (ENG / USD),0.00051,-0.0000012,0.22
Santiment Network Token (SAN / USD),0.1669,-0.00032,0.19
aelf (ELF / USD),0.5595,+0.0011,0.20
Stratis (STRAT / USD),0.0599,-0.00013,0.22
Quantstamp (QSP / USD),0.0257,-0.000058,0.22
Raiden Network Token (RDN / USD),0.1896,-0.00025,0.13
