name,value,changevalue,changepercentage
DAX PERFORMANCE-INDEX,16918.21,+59.17,0.35
FTSE 100 Index,7615.54,-6.62,0.087
CAC 40,7592.26,+3.51,0.046
IBEX 35,10062.50,+48.50,0.48
EURO STOXX 50,4654.55,+15.95,0.34
S&P EURO,2029.02,+3.51,0.17
Dow Jones Germany Titans 30 Index (EUR),521.04,+0.82,0.16
TA-125 Index,1855.39,+6.30,0.34
AEX index,822.53,+0.44,0.054
PSI-20,6257.38,-27.97,0.45
WIG,79575.14,+1157.26,1.48
TASI Index,11962.72,+48.43,0.41
Swiss Market Index,11239.68,+25.77,0.23
S&P Europe 350,1966.52,-0.49,0.025
STOXX Europe 600,483.93,+0.070,0.014
FTSE AIM All-Share Index,754.17,+1.47,0.20
FTSE All-Share Index,4160.19,-1.70,0.041
OMX Copenhagen 20,2450.37,-11.06,0.45
OMX Copenhagen 25,1858.36,-4.00,0.21
WIG20,2350.44,+44.37,1.92
WIG30,2916.96,+47.14,1.64
SBF 120,5758.33,+2.18,0.038
CAC LARGE 60,8174.08,+3.27,0.040
BIST 100,8665.68,+19.56,0.23
BIST 30,9261.34,+14.39,0.16
HDAX PERFORMANCE-INDEX,9058.07,+20.10,0.22
OMX Helsinki 25,4479.53,-6.33,0.14
SPI 20 PR,11064.85,+25.34,0.23
Swiss Performance Index,14676.63,+26.18,0.18
AMX index,885.22,-0.69,0.078
FTSE IT ALL-SHARE INDEX,32864.55,+23.43,0.071
BEL 20,3615.28,-8.02,0.22
PSI ALL-SHARE GR,4418.43,-20.33,0.46
Austrian Traded Index,3440.78,-9.79,0.28
OMX Stockholm 30,2367.90,+3.09,0.13
OMX Stockholm Benchmark_GI,1747.50,-0.43,0.025
OMX Iceland All-Share PI,2315.81,-18.23,0.78
OMX Riga_GI,1379.21,+13.57,0.99
OMX Tallinn,1780.34,+4.17,0.23
OMX Vilnius_GI,963.77,-0.84,0.087
TA-35 Index,1830.57,+12.74,0.70
