name,value,changevalue,changepercentage
Delivery Hero SE,€16.65,-€4.85,22.56
Delivery Hero SE,€16.95,-€4.72,21.80
WuXi Biologics (Cayman) Inc,€1.99,-€0.47,19.08
Igg Inc,€0.33,-€0.024,6.70
Lenovo Group Ltd,€0.93,-€0.042,4.27
Aroundtown SA,€1.97,-€0.076,3.74
Barrick Gold Corp,€14.17,-€0.55,3.74
AIXTRON SE,€33.31,-€1.23,3.56
Newmont Corporation,€31.46,-€1.12,3.44
Prosiebensat 1 Media SE,€6.23,-€0.22,3.41
Barrick Gold Corp,€14.16,-€0.49,3.31
Siemens Healthineers AG,€52.52,-€1.64,3.03
thyssenkrupp nucera AG & Co KgaA,€14.54,-€0.44,2.94
Aroundtown SA,€1.98,-€0.059,2.90
E.ON SE Common Stock,€12.28,-€0.37,2.89
E.ON SE Common Stock,€12.20,-€0.36,2.83
Eckert & Zieglr Strahln und Mdzntchnk AG,€44.58,-€1.26,2.75
Xiaomi Corp,€1.43,-€0.040,2.71
Hecla Mining Company,€3.48,-€0.095,2.66
AUTO1 GROUP SE,€3.69,-€0.098,2.59
Nemetschek SE,€83.80,-€2.22,2.58
TAG Immobilien AG,€12.22,-€0.32,2.55
Uranium Energy Corp.,€7.40,-€0.19,2.53
Hapag Lloyd AG,€135.00,-€3.50,2.53
Nio Inc - ADR,€5.10,-€0.13,2.49
CTS Eventim AG & Co KGaA,€63.40,-€1.60,2.46
Nagarro SE,€88.85,-€2.20,2.42
Ballard Power Systems Inc,€3.00,-€0.074,2.41
Evotec SE,€13.24,-€0.32,2.32
Glencore PLC,€4.88,-€0.11,2.27
Northern Data AG,€26.20,-€0.60,2.24
Sanofi SA,€87.96,-€2.00,2.22
Draegerwerk AG & Co KGaA Preference Shares,€46.20,-€1.05,2.22
Sartorius AG Preference Shares,€331.30,-€7.50,2.21
GFT Technologies SE,€31.94,-€0.72,2.20
SCHOTT Pharma AG & Co KgaA,€35.80,-€0.80,2.19
BYD Ord Shs H,€20.45,-€0.45,2.15
