Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
USDD-USD,USDD USD,0.994203,+0.001660,+0.17%,721.128M,12.169M,12.169M,12.169M,725.332M
WBNB-USD,Wrapped BNB USD,305.69,+5.02,+1.67%,692.388M,95.793M,95.793M,95.793M,2.265M
MANTA-USD,Manta Network USD,2.7383,-0.2157,-7.30%,687.311M,222.998M,222.998M,222.998M,251M
KLAY-USD,Klaytn USD,0.193363,-0.002010,-1.03%,674.39M,8.332M,8.332M,8.332M,3.488B
BONK-USD,Bonk USD,0.000010,-0.000000,-0.82%,655.878M,39.631M,39.631M,39.631M,63.334T
LUNC-USD,Terra Classic USD,0.000112,+0.000018,+18.61%,649.806M,238.769M,238.769M,238.769M,5.781T
FRAX-USD,Frax USD,0.998323,+0.000124,+0.01%,648.373M,4.874M,4.874M,4.874M,649.462M
CAKE-USD,PancakeSwap USD,2.4708,+0.0535,+2.21%,629.377M,59.307M,59.307M,59.307M,254.726M
AKT-USD,Akash Network USD,2.7352,-0.0597,-2.14%,620.745M,2.558M,2.558M,2.558M,226.948M
WOO-USD,WOO USD,0.339827,-0.004686,-1.36%,619.566M,6.697M,6.697M,6.697M,1.823B
MSOL-USD,Marinade Staked SOL USD,113.42,-0.62,-0.55%,607.998M,9.827M,9.827M,9.827M,5.361M
VBNB-USD,Venus BNB USD,7.2047,+0.1221,+1.72%,607.553M,369.001M,369.001M,369.001M,84.327M
XDC-USD,XDC Network USD,0.043362,+0.000107,+0.25%,602.562M,21.379M,21.379M,21.379M,13.896B
GALA-USD,Gala USD,0.021481,-0.000332,-1.52%,597.178M,26.154M,26.154M,26.154M,27.8B
XEC-USD,eCash USD,0.000030,-0.000000,-1.54%,595.142M,3.707M,3.707M,3.707M,19.626T
FTT-USD,FTX Token USD,1.7334,-0.1330,-7.13%,570.104M,24.33M,24.33M,24.33M,328.895M
GNO-USD,Gnosis USD,216.86,+0.85,+0.39%,561.578M,6.005M,6.005M,6.005M,2.59M
AR-USD,Arweave USD,8.5521,+0.0282,+0.33%,559.77M,7.155M,7.155M,7.155M,65.454M
RPL-USD,Rocket Pool USD,27.59,+0.03,+0.12%,553.631M,3.527M,3.527M,3.527M,20.066M
ENS-USD,Ethereum Name Service USD,17.90,+0.39,+2.24%,550.663M,30.978M,30.978M,30.978M,30.756M
APE18876-USD,ApeCoin USD,1.3791,-0.0297,-2.11%,508.335M,29.266M,29.266M,29.266M,368.594M
SC-USD,Siacoin USD,0.008979,+0.000443,+5.19%,505.285M,26.454M,26.454M,26.454M,56.275B
XAUT-USD,Tether Gold USD,"2,038.28",-1.38,-0.07%,502.486M,2.227M,2.227M,2.227M,"246,524"
AXL17799-USD,Axelar USD,0.895175,-0.021448,-2.34%,497.967M,2.43M,2.43M,2.43M,556.279M
CRV-USD,Curve DAO Token USD,0.450956,-0.022458,-4.74%,495.396M,58.755M,58.755M,58.755M,1.099B
NEXO-USD,Nexo USD,0.879399,-0.011974,-1.34%,492.463M,2.06M,2.06M,2.06M,560M
CBETH-USD,Coinbase Wrapped Staked ETH USD,"2,440.79",-3.08,-0.13%,477.593M,4.675M,4.675M,4.675M,"195,671"
HT-USD,Huobi Token USD,2.9140,+0.1540,+5.58%,472.754M,5.333M,5.333M,5.333M,162.234M
TWT-USD,Trust Wallet Token USD,1.1185,-0.0013,-0.12%,466.033M,7.441M,7.441M,7.441M,416.65M
RLB-USD,Rollbit Coin USD,0.140402,-0.001200,-0.85%,462.898M,2.908M,2.908M,2.908M,3.297B
GT-USD,GateToken USD,4.7811,+0.0172,+0.36%,461.338M,1.015M,1.015M,1.015M,96.491M
1INCH-USD,1inch Network USD,0.398009,-0.006150,-1.52%,454.204M,20.986M,20.986M,20.986M,1.141B
FET-USD,Fetch.ai USD,0.541515,-0.016315,-2.92%,450.357M,35.671M,35.671M,35.671M,831.66M
FTN-USD,Fasttoken USD,1.4687,+0.0006,+0.04%,447.732M,5.642M,5.642M,5.642M,304.85M
COMP5692-USD,Compound USD,54.11,-1.35,-2.44%,436.702M,25.879M,25.879M,25.879M,8.071M
LUNA20314-USD,Terra USD,0.653688,+0.042857,+7.02%,424.916M,102.361M,102.361M,102.361M,650.03M
STRD-USD,Stride USD,4.7994,+0.3000,+6.67%,421.513M,"613,458","613,458","613,458",87.826M
CORE23254-USD,Core USD,0.483905,+0.003590,+0.75%,418.049M,6.893M,6.893M,6.893M,863.907M
GMT18069-USD,GMT USD,0.250293,-0.003243,-1.28%,417.063M,15.798M,15.798M,15.798M,1.666B
PAXG-USD,PAX Gold USD,"2,018.90",-6.44,-0.32%,416.186M,2.985M,2.985M,2.985M,"206,145"
CSPR-USD,Casper USD,0.034984,-0.001114,-3.09%,411.776M,3.876M,3.876M,3.876M,11.77B
NFT9816-USD,APENFT USD,0.00000041,+0.00000000,+0.95%,409.927M,17.535M,17.535M,17.535M,990.106T
XRD-USD,Radix USD,0.039398,-0.000570,-1.43%,408.368M,1.818M,1.818M,1.818M,10.365B
GMX11857-USD,GMX USD,42.71,-0.52,-1.21%,402.183M,8.295M,8.295M,8.295M,9.416M
ELF-USD,aelf USD,0.558349,-0.001596,-0.29%,399.173M,4.006M,4.006M,4.006M,714.916M
BTG-USD,Bitcoin Gold USD,22.71,-0.45,-1.92%,397.73M,3.482M,3.482M,3.482M,17.514M
METIS-USD,Metis USD,75.17,-0.87,-1.14%,394.691M,13.751M,13.751M,13.751M,5.251M
ENJ-USD,Enjin Coin USD,0.278711,-0.006870,-2.41%,384.577M,8.735M,8.735M,8.735M,1.38B
PEPE24478-USD,Pepe USD,0.00000091,-0.00000002,-2.06%,381.861M,39.357M,39.357M,39.357M,420.69T
IOTX-USD,IoTeX USD,0.040334,-0.000731,-1.78%,380.812M,4.556M,4.556M,4.556M,9.441B
KUJI-USD,Kujira USD,3.1007,-0.0962,-3.01%,379.371M,"789,068","789,068","789,068",122.35M
GAS-USD,Gas USD,5.6613,-0.0230,-0.40%,375.532M,10.677M,10.677M,10.677M,66.333M
SKL-USD,SKALE USD,0.071758,-0.000665,-0.92%,370.035M,14.893M,14.893M,14.893M,5.157B
WKAVA-USD,Wrapped Kava USD,0.730829,0.000000,0.00%,363.711M,"3,462","3,462","3,462",497.669M
CELO-USD,Celo USD,0.678007,+0.014673,+2.21%,357.905M,8.824M,8.824M,8.824M,527.878M
ZEC-USD,Zcash USD,21.77,-0.29,-1.33%,355.414M,39.26M,39.26M,39.26M,16.328M
USDP-USD,Pax Dollar USD,0.999885,+0.000114,+0.01%,352.811M,"612,317","612,317","612,317",352.851M
POKT-USD,Pocket Network USD,0.229368,+0.003274,+1.45%,348.987M,1.775M,1.775M,1.775M,1.522B
ZIL-USD,Zilliqa USD,0.020030,-0.000055,-0.27%,347.959M,8.424M,8.424M,8.424M,17.372B
MAGIC14783-USD,Treasure USD,1.3322,-0.0051,-0.38%,344.865M,80.335M,80.335M,80.335M,258.865M
